simID,repeatID,planting_pattern,current_julian,GDD,percent_flower_open,percent_fruits_ripeness,percent_fruit_set,percent_fruit_setII,percent_malformed_berries,avg_fruit_mass,avg_nb_seeds,avg_healthy_berries,kg_yields_ha
1,5,3,2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,3,3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,3,4,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,3,6,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,4,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,4,2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,4,3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,4,4,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,4,6,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
